PwnCount,BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,bin,country_id
13873674,1,1,2014,0,0,0,0,0,3,1,0
13369666,23,10,2017,1,0,0,0,0,4,1,0
13258797,2,6,2013,1,0,0,0,0,2,1,16
12865609,8,8,2016,1,0,0,0,0,6,1,0
11657763,27,6,2016,1,0,0,0,0,4,1,0
11498146,26,1,2021,0,0,0,0,0,1,1,8
11010525,8,2,2014,0,0,0,0,0,1,1,0
10981207,1,2,2018,1,0,0,0,0,4,1,0
10604307,1,1,2019,1,0,0,0,0,4,1,0
10371766,1,9,2017,0,0,0,0,0,3,1,0
10001355,5,11,2021,1,1,0,0,0,2,1,3
9705172,27,1,2020,1,0,0,0,0,1,1,3
9363740,5,11,2018,1,0,0,0,0,1,1,0
9313136,8,5,2014,1,0,0,0,0,1,1,0
9121434,1,1,2011,0,0,0,0,0,3,1,0
9052457,11,8,2020,1,0,0,0,0,2,1,0
8815692,10,2,2020,1,0,0,0,0,4,1,0
8718404,1,12,2011,0,0,0,0,0,3,1,0
8661578,22,3,2020,1,0,0,0,0,4,1,0
8600635,3,11,2013,1,0,0,0,0,5,1,0
8243604,1,3,2012,1,0,0,0,0,0,1,0
8234193,1,4,2020,1,0,0,0,0,1,1,8
8176132,23,12,2016,0,0,0,0,0,1,1,0
8089103,17,12,2012,1,0,0,0,0,0,1,7
8032404,13,1,2021,1,0,0,0,0,2,1,0
7830195,10,7,2011,0,0,0,0,0,3,1,17
7687679,5,9,2016,1,0,0,1,0,1,1,0
7633234,28,12,2018,1,0,0,0,0,5,1,0
7485802,28,12,2011,0,0,0,0,0,3,1,0
7485802,6,9,2016,0,0,0,0,0,3,1,0
7476940,25,8,2021,1,0,0,0,0,2,1,8
7455386,1,6,2021,1,0,0,0,0,5,1,0
7445067,19,11,2016,1,0,0,1,0,1,1,46
7327477,24,11,2019,1,0,0,0,0,4,1,0
7196890,16,9,2015,0,0,0,0,0,1,1,0
7104998,12,10,2020,1,0,0,0,0,2,1,0
7089395,1,1,2016,1,0,0,0,0,0,1,48
7088010,1,8,2012,0,0,0,0,0,4,1,0
7040725,1,1,2014,1,0,0,0,0,0,1,0
6844490,17,11,2016,1,0,0,0,0,2,1,0
6840339,26,7,2019,1,0,0,0,0,4,1,0
6783158,1,8,2021,1,0,0,0,0,2,1,42
6706951,28,8,2022,1,0,0,0,0,2,1,0
6682453,1,1,2022,1,0,0,0,0,1,1,0
6496778,27,9,2016,0,0,0,0,0,3,1,0
6486626,29,3,2017,1,0,0,0,0,4,1,0
6414191,1,1,2012,0,0,0,0,0,3,1,0
6353564,3,5,2019,1,0,0,0,0,4,1,0
6137666,1,11,2016,1,0,0,0,0,4,1,0
6002694,21,8,2019,1,0,0,0,0,2,1,0
5968783,4,11,2015,1,0,0,0,0,0,1,0
5915013,22,7,2013,1,0,0,0,0,2,1,0
5890277,4,9,2020,1,0,0,0,0,4,1,0
5888405,22,6,2020,1,0,0,0,0,4,1,0
5814988,22,6,2020,1,0,0,0,0,1,1,8
5788169,29,10,2018,1,0,0,0,0,1,1,0
5470063,1,12,2021,1,0,0,0,0,1,1,0
5274214,13,12,2022,1,0,0,0,0,1,1,40
5223350,8,4,2021,1,0,0,0,0,1,1,0
5187305,4,7,2018,1,0,0,0,0,4,1,0
5176463,16,2,2014,1,0,0,0,0,2,1,14
5081689,10,9,2016,1,0,0,0,0,5,1,0
5067990,25,8,2022,1,0,0,0,0,1,1,0
5033997,1,9,2013,1,0,0,0,0,2,1,0
5024908,21,12,2011,0,1,0,0,0,3,1,0
5003937,3,11,2021,1,0,0,0,0,1,1,16
4946850,8,8,2016,1,0,0,0,0,6,1,0
4907802,14,12,2015,1,0,0,0,0,0,1,0
4848734,1,6,2011,1,0,0,0,0,2,1,15
4845378,14,3,2021,1,0,0,0,0,1,1,0
4833678,13,11,2015,1,0,1,0,0,2,1,0
4789599,9,1,2014,1,0,0,0,0,0,1,15
4775203,22,6,2020,1,0,0,0,0,4,1,0
4609615,1,1,2014,1,0,0,0,0,1,1,0
4483605,1,1,2009,1,0,0,0,0,1,1,0
4418182,6,5,2020,1,0,0,0,0,4,1,8
4324770,27,1,2021,1,1,0,0,1,0,1,0
4284538,3,1,2021,1,0,0,0,0,2,1,0
4261179,14,5,2015,1,0,0,0,0,2,1,0
4227907,20,1,2019,1,0,0,0,0,4,1,0
4216063,31,12,2018,1,0,0,0,0,4,1,0
4195918,23,6,2020,1,0,0,0,0,1,1,0
4101101,17,12,2019,1,0,0,0,0,5,1,1
4009640,19,4,2016,1,0,0,0,0,2,1,0
4007909,27,7,2019,1,0,0,0,0,5,1,0
