BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,country_id,bin
30,11,2013,1,0,0,0,0,1,0,1
22,2,2014,1,0,0,0,0,1,19,1
20,2,2019,1,0,0,0,0,6,41,1
31,3,2018,1,0,0,0,0,1,0,1
19,10,2020,1,0,0,0,0,1,34,1
25,3,2017,1,0,0,0,0,5,0,1
4,10,2021,1,0,0,0,0,4,27,1
18,3,2014,1,0,0,0,0,0,0,1
8,7,2015,1,0,0,0,0,1,0,1
30,12,2017,1,0,0,0,0,0,0,1
28,7,2018,1,0,0,0,0,5,0,1
1,8,2013,1,0,0,0,0,6,22,1
16,8,2018,1,0,0,0,0,1,38,1
20,5,2020,1,0,0,0,0,6,27,1
7,5,2019,1,0,0,0,0,1,0,1
11,2,2015,1,0,0,0,0,1,26,1
4,12,2013,1,0,0,0,0,0,0,1
17,2,2014,1,0,0,0,0,0,0,1
2,6,2011,1,0,0,0,0,0,0,1
1,1,2017,1,0,0,0,0,5,8,1
3,4,2014,1,0,0,0,0,0,0,1
2,5,2014,1,1,0,0,0,0,0,1
12,10,2022,1,0,0,0,0,2,0,1
1,1,2016,1,0,0,0,0,6,0,1
6,7,2015,1,0,0,0,0,0,50,1
25,6,2018,1,0,0,0,0,5,0,1
31,3,2019,1,1,0,0,0,1,0,1
1,7,2015,1,0,0,0,0,5,0,1
21,12,2011,1,1,0,0,0,0,8,1
11,3,2016,1,0,0,0,0,1,0,1
25,4,2014,1,0,0,0,0,0,0,1
8,8,2022,1,1,0,0,0,1,9,1
30,1,2018,1,0,0,0,0,1,0,1
1,2,2014,1,0,0,0,0,1,0,1
6,1,2023,1,0,0,0,0,1,0,1
15,8,2015,1,0,0,0,0,0,2,1
9,9,2013,1,0,0,0,0,6,51,1
20,12,2017,1,0,0,0,0,6,0,1
10,1,2014,1,0,0,0,0,6,0,1
16,12,2016,1,0,0,0,0,5,38,1
24,5,2015,1,0,0,0,0,6,8,1
3,11,2018,1,0,0,0,0,0,6,1
16,1,2015,1,0,0,0,0,0,0,1
21,5,2021,1,1,0,0,0,1,0,1
8,3,2021,1,1,0,0,0,1,26,1
27,9,2019,1,0,0,0,0,1,0,1
12,2,2021,1,0,0,0,0,5,0,1
19,12,2013,1,0,0,0,0,6,7,1
10,9,2019,1,0,0,0,0,5,0,1
2,12,2016,1,0,0,0,0,5,0,1
19,3,2018,1,1,0,0,0,2,0,1
20,2,2014,1,0,0,0,0,0,0,1
12,2,2014,1,0,0,0,0,0,3,1
3,2,2019,1,0,0,0,0,6,0,1
4,11,2018,1,0,0,0,0,5,0,1
