BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,country_id,bin
1,3,2012,1,0,0,0,0,0,0,1
1,4,2020,1,0,0,0,0,1,8,1
23,12,2016,0,0,0,0,0,1,0,1
17,12,2012,1,0,0,0,0,0,7,1
13,1,2021,1,0,0,0,0,2,0,1
10,7,2011,0,0,0,0,0,3,17,1
5,9,2016,1,0,0,1,0,1,0,1
28,12,2018,1,0,0,0,0,5,0,1
28,12,2011,0,0,0,0,0,3,0,1
6,9,2016,0,0,0,0,0,3,0,1
25,8,2021,1,0,0,0,0,2,8,1
1,6,2021,1,0,0,0,0,5,0,1
19,11,2016,1,0,0,1,0,1,46,1
24,11,2019,1,0,0,0,0,4,0,1
16,9,2015,0,0,0,0,0,1,0,1
12,10,2020,1,0,0,0,0,2,0,1
1,1,2016,1,0,0,0,0,0,48,1
1,8,2012,0,0,0,0,0,4,0,1
1,1,2014,1,0,0,0,0,0,0,1
17,11,2016,1,0,0,0,0,2,0,1
26,7,2019,1,0,0,0,0,4,0,1
1,8,2021,1,0,0,0,0,2,42,1
28,8,2022,1,0,0,0,0,2,0,1
1,1,2022,1,0,0,0,0,1,0,1
27,9,2016,0,0,0,0,0,3,0,1
29,3,2017,1,0,0,0,0,4,0,1
1,1,2012,0,0,0,0,0,3,0,1
3,5,2019,1,0,0,0,0,4,0,1
1,11,2016,1,0,0,0,0,4,0,1
21,8,2019,1,0,0,0,0,2,0,1
4,11,2015,1,0,0,0,0,0,0,1
22,7,2013,1,0,0,0,0,2,0,1
4,9,2020,1,0,0,0,0,4,0,1
22,6,2020,1,0,0,0,0,4,0,1
22,6,2020,1,0,0,0,0,1,8,1
29,10,2018,1,0,0,0,0,1,0,1
1,12,2021,1,0,0,0,0,1,0,1
13,12,2022,1,0,0,0,0,1,40,1
8,4,2021,1,0,0,0,0,1,0,1
4,7,2018,1,0,0,0,0,4,0,1
16,2,2014,1,0,0,0,0,2,14,1
10,9,2016,1,0,0,0,0,5,0,1
25,8,2022,1,0,0,0,0,1,0,1
1,9,2013,1,0,0,0,0,2,0,1
21,12,2011,0,1,0,0,0,3,0,1
3,11,2021,1,0,0,0,0,1,16,1
8,8,2016,1,0,0,0,0,6,0,1
14,12,2015,1,0,0,0,0,0,0,1
1,6,2011,1,0,0,0,0,2,15,1
14,3,2021,1,0,0,0,0,1,0,1
13,11,2015,1,0,1,0,0,2,0,1
9,1,2014,1,0,0,0,0,0,15,1
22,6,2020,1,0,0,0,0,4,0,1
1,1,2014,1,0,0,0,0,1,0,1
1,1,2009,1,0,0,0,0,1,0,1
6,5,2020,1,0,0,0,0,4,8,1
27,1,2021,1,1,0,0,1,0,0,1
3,1,2021,1,0,0,0,0,2,0,1
14,5,2015,1,0,0,0,0,2,0,1
20,1,2019,1,0,0,0,0,4,0,1
31,12,2018,1,0,0,0,0,4,0,1
23,6,2020,1,0,0,0,0,1,0,1
17,12,2019,1,0,0,0,0,5,1,1
19,4,2016,1,0,0,0,0,2,0,1
27,7,2019,1,0,0,0,0,5,0,1
26,12,2018,1,0,0,0,0,4,0,1
15,3,2021,1,0,0,0,0,6,0,1
28,10,2020,1,0,0,0,0,5,0,1
7,3,2012,1,0,0,0,0,1,0,1
21,5,2015,1,1,0,0,0,0,0,1
8,7,2018,1,0,0,0,0,4,49,1
27,12,2015,1,0,0,0,0,2,1,1
1,7,2019,1,0,0,0,0,2,0,1
23,12,2021,1,0,0,0,0,1,0,1
19,12,2020,1,0,0,0,0,1,0,1
28,2,2019,1,0,0,0,0,4,0,1
17,5,2010,1,0,0,0,0,1,0,1
1,7,2018,1,0,0,0,0,4,0,1
6,1,2020,1,1,0,0,0,4,16,1
11,5,2015,1,0,0,0,0,0,0,1
4,9,2016,1,0,0,0,0,5,0,1
