BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,PwnCount
1,4,2020,1,0,0,0,0,1,8234193
23,12,2016,0,0,0,0,0,1,8176132
17,12,2012,1,0,0,0,0,0,8089103
13,1,2021,1,0,0,0,0,2,8032404
10,7,2011,0,0,0,0,0,3,7830195
5,9,2016,1,0,0,1,0,1,7687679
28,12,2018,1,0,0,0,0,5,7633234
28,12,2011,0,0,0,0,0,3,7485802
6,9,2016,0,0,0,0,0,3,7485802
25,8,2021,1,0,0,0,0,2,7476940
1,6,2021,1,0,0,0,0,5,7455386
19,11,2016,1,0,0,1,0,1,7445067
24,11,2019,1,0,0,0,0,4,7327477
16,9,2015,0,0,0,0,0,1,7196890
12,10,2020,1,0,0,0,0,2,7104998
1,1,2016,1,0,0,0,0,0,7089395
1,8,2012,0,0,0,0,0,4,7088010
1,1,2014,1,0,0,0,0,0,7040725
17,11,2016,1,0,0,0,0,2,6844490
26,7,2019,1,0,0,0,0,4,6840339
1,8,2021,1,0,0,0,0,2,6783158
28,8,2022,1,0,0,0,0,2,6706951
1,1,2022,1,0,0,0,0,1,6682453
27,9,2016,0,0,0,0,0,3,6496778
29,3,2017,1,0,0,0,0,4,6486626
1,1,2012,0,0,0,0,0,3,6414191
3,5,2019,1,0,0,0,0,4,6353564
1,11,2016,1,0,0,0,0,4,6137666
21,8,2019,1,0,0,0,0,2,6002694
4,11,2015,1,0,0,0,0,0,5968783
22,7,2013,1,0,0,0,0,2,5915013
4,9,2020,1,0,0,0,0,4,5890277
22,6,2020,1,0,0,0,0,4,5888405
22,6,2020,1,0,0,0,0,1,5814988
29,10,2018,1,0,0,0,0,1,5788169
1,12,2021,1,0,0,0,0,1,5470063
13,12,2022,1,0,0,0,0,1,5274214
8,4,2021,1,0,0,0,0,1,5223350
4,7,2018,1,0,0,0,0,4,5187305
16,2,2014,1,0,0,0,0,2,5176463
10,9,2016,1,0,0,0,0,5,5081689
25,8,2022,1,0,0,0,0,1,5067990
1,9,2013,1,0,0,0,0,2,5033997
21,12,2011,0,1,0,0,0,3,5024908
3,11,2021,1,0,0,0,0,1,5003937
8,8,2016,1,0,0,0,0,6,4946850
14,12,2015,1,0,0,0,0,0,4907802
1,6,2011,1,0,0,0,0,2,4848734
14,3,2021,1,0,0,0,0,1,4845378
13,11,2015,1,0,1,0,0,2,4833678
9,1,2014,1,0,0,0,0,0,4789599
22,6,2020,1,0,0,0,0,4,4775203
1,1,2014,1,0,0,0,0,1,4609615
1,1,2009,1,0,0,0,0,1,4483605
6,5,2020,1,0,0,0,0,4,4418182
27,1,2021,1,1,0,0,1,0,4324770
3,1,2021,1,0,0,0,0,2,4284538
14,5,2015,1,0,0,0,0,2,4261179
20,1,2019,1,0,0,0,0,4,4227907
31,12,2018,1,0,0,0,0,4,4216063
23,6,2020,1,0,0,0,0,1,4195918
17,12,2019,1,0,0,0,0,5,4101101
19,4,2016,1,0,0,0,0,2,4009640
27,7,2019,1,0,0,0,0,5,4007909
26,12,2018,1,0,0,0,0,4,3994436
15,3,2021,1,0,0,0,0,6,3966871
28,10,2020,1,0,0,0,0,5,3924454
7,3,2012,1,0,0,0,0,1,3883455
21,5,2015,1,1,0,0,0,0,3867997
8,7,2018,1,0,0,0,0,4,3830916
27,12,2015,1,0,0,0,0,2,3827238
1,7,2019,1,0,0,0,0,2,3805863
23,12,2021,1,0,0,0,0,1,3756794
19,12,2020,1,0,0,0,0,1,3675099
28,2,2019,1,0,0,0,0,4,3670561
17,5,2010,1,0,0,0,0,1,3619948
1,7,2018,1,0,0,0,0,4,3589795
6,1,2020,1,1,0,0,0,4,3512952
11,5,2015,1,0,0,0,0,0,3474763
4,9,2016,1,0,0,0,0,5,3472916
19,6,2020,1,0,0,0,0,4,3465259
4,11,2015,1,0,0,0,0,0,3439414
24,10,2015,1,0,0,0,0,4,3430083
30,8,2020,1,0,0,0,0,1,3395101
19,6,2020,1,0,0,0,0,2,3385862
31,7,2016,1,0,0,0,0,2,3264710
12,10,2018,1,0,0,0,0,4,3225080
22,10,2015,1,0,0,0,0,6,3122898
12,10,2021,1,0,0,0,0,0,3117548
25,7,2019,1,0,0,0,0,1,3081321
10,3,2019,1,0,0,1,0,0,3073409
22,3,2021,1,0,0,0,0,2,2987329
7,11,2013,1,0,0,0,0,2,2983472
28,6,2020,1,0,0,0,0,4,2964182
14,7,2020,1,0,0,0,0,4,2856769
14,8,2020,1,0,0,0,0,1,2811929
16,10,2018,1,0,0,0,0,1,2789609
14,8,2019,1,0,0,0,0,1,2743539
1,6,2016,1,0,0,0,0,0,2682650
20,12,2020,1,0,0,0,0,1,2660295
1,1,2011,0,0,0,0,0,3,2639894
10,4,2014,1,0,0,0,0,1,2628148
26,3,2020,1,0,0,0,0,4,2520441
1,7,2016,1,0,0,0,0,2,2491103
4,5,2017,1,0,0,0,0,4,2481121
2,7,2020,1,0,0,0,0,4,2479044
10,10,2018,1,0,0,0,0,1,2467304
22,3,2017,1,0,0,0,0,1,2461696
1,7,2015,1,0,0,0,0,6,2460787
18,9,2018,1,0,0,1,0,1,2457420
4,9,2016,1,0,0,0,0,2,2424784
11,8,2022,1,0,0,0,0,2,2376330
1,12,2016,1,0,0,0,0,0,2357872
27,3,2020,1,0,0,0,0,2,2330735
1,10,2015,1,0,0,0,0,0,2330382
1,1,2018,1,0,0,0,0,1,2325283
14,3,2017,1,0,0,0,0,1,2257930
7,8,2016,1,0,0,0,0,1,2247314
15,5,2017,1,0,0,0,0,1,2231256
10,10,2019,1,0,0,0,0,4,2192857
15,7,2016,1,0,0,0,0,0,2191565
30,1,2018,1,0,0,0,0,4,2156921
12,7,2007,1,0,0,0,0,2,2136520
18,8,2014,1,0,0,0,0,1,2107000
1,3,2015,1,0,0,0,0,2,2064274
9,7,2016,1,1,0,0,0,4,2021984
13,2,2016,0,1,0,0,0,1,2013164
12,4,2016,1,0,0,0,0,1,1957600
22,2,2021,1,0,0,0,0,1,1921722
7,10,2020,1,0,0,0,0,4,1906808
1,3,2016,1,0,0,0,0,6,1871373
16,7,2019,1,0,0,0,0,4,1858124
20,1,2021,1,0,0,0,0,1,1834006
1,2,2016,1,0,0,0,0,6,1771845
1,9,2013,1,0,0,0,0,2,1749806
1,12,2015,1,0,0,0,0,6,1697282
21,1,2018,1,0,0,0,0,5,1688176
9,3,2017,1,0,0,0,0,0,1619544
14,7,2016,1,0,0,0,0,4,1604957
8,10,2021,0,0,0,0,0,1,1583193
2,4,2013,1,0,0,0,0,2,1580933
27,3,2022,1,0,0,0,0,1,1580249
1,12,2022,1,0,0,0,0,1,1557153
25,3,2020,1,0,0,0,0,4,1541284
29,2,2016,1,0,0,0,0,0,1535473
18,5,2016,1,0,0,0,0,2,1531235
24,2,2019,1,0,0,0,0,4,1506242
4,1,2020,1,0,0,0,0,2,1488089
29,2,2016,1,0,0,0,0,0,1476783
6,4,2021,1,0,0,0,0,2,1464271
12,1,2021,1,0,0,0,0,1,1460130
22,6,2020,1,0,0,0,0,4,1444629
6,12,2015,1,0,0,0,0,5,1436486
21,12,2020,1,0,0,0,0,4,1436435
27,2,2020,1,0,0,0,0,4,1431378
26,1,2020,1,1,0,0,0,1,1422717
1,6,2020,1,0,0,0,0,4,1414677
14,3,2015,1,0,0,0,0,4,1410899
4,6,2019,1,0,0,0,0,0,1408078
14,3,2016,1,1,0,0,0,2,1398630
10,8,2014,1,0,0,0,0,2,1383759
1,7,2016,1,0,0,0,0,0,1372550
1,6,2015,0,1,0,0,0,0,1370175
25,6,2020,1,0,0,0,0,4,1369180
21,2,2012,1,1,0,0,0,0,1327567
29,1,2021,1,0,0,0,0,2,1324364
1,6,2016,1,0,0,0,0,6,1311610
6,1,2021,1,0,0,0,0,4,1306723
29,6,2020,1,0,0,0,0,4,1304447
2,10,2020,1,0,0,0,0,4,1301460
27,3,2020,1,0,0,0,0,1,1298651
25,9,2015,1,0,0,0,0,6,1296959
1,1,2009,1,0,0,0,0,2,1291178
1,9,2014,1,0,0,0,0,1,1287073
19,8,2020,1,0,0,0,0,1,1284637
9,7,2018,1,0,0,0,0,1,1279263
3,8,2019,1,0,0,0,0,4,1277761
27,1,2020,1,0,0,0,0,2,1274340
25,9,2015,1,0,0,0,0,6,1274070
7,10,2018,1,1,0,0,0,0,1274051
17,5,2016,1,1,0,0,0,0,1270564
11,12,2010,1,0,0,0,0,0,1247574
23,10,2015,1,0,0,0,0,6,1217166
25,9,2020,1,0,0,0,0,2,1197620
22,4,2014,1,0,0,0,0,2,1194597
7,9,2014,1,0,0,0,0,0,1186564
1,3,2020,1,0,0,0,0,4,1173012
1,8,2013,1,0,0,0,0,2,1141278
1,12,2015,1,0,0,0,0,0,1131636
1,4,2018,1,0,0,0,0,4,1131229
1,1,2020,1,1,0,0,1,0,1121484
1,12,2016,1,0,0,0,0,2,1116256
30,7,2020,1,0,0,0,0,1,1107789
29,10,2021,1,1,0,0,0,0,1107034
11,11,2015,1,1,0,0,0,0,1100089
1,4,2018,1,0,0,0,0,4,1079970
25,6,2020,1,0,0,0,0,1,1075241
24,8,2012,1,0,0,0,0,2,1074948
15,8,2016,1,0,0,0,0,0,1073164
15,2,2014,1,0,0,0,0,0,1057819
9,5,2016,1,0,0,0,0,5,1052753
7,8,2015,1,0,0,0,0,4,1047200
1,1,2017,1,0,0,0,0,6,1023466
20,6,2020,1,0,0,0,0,2,1021790
4,7,2012,1,0,0,0,0,2,1020136
1,3,2015,1,1,0,0,0,6,999991
1,1,2017,1,0,0,0,0,2,995698
1,3,2017,1,0,0,0,0,2,995274
9,12,2017,1,0,0,0,0,4,990919
28,6,2016,1,0,0,0,0,4,988230
16,3,2016,1,0,0,0,0,1,985586
18,2,2015,1,0,0,0,0,1,972629
19,1,2017,1,1,0,0,0,6,942044
31,1,2021,1,0,0,0,0,4,938981
15,11,2022,1,0,0,0,0,2,919790
19,7,2016,1,0,0,0,0,0,917461
1,1,2016,1,0,0,0,0,2,890341
1,8,2013,1,0,0,0,0,6,880331
1,1,2016,1,0,0,0,0,2,879703
20,8,2021,1,0,0,0,0,1,878209
23,3,2019,1,0,0,0,0,2,871190
24,12,2011,1,0,0,0,0,0,859777
16,2,2020,1,0,0,0,0,1,857611
9,6,2014,1,0,0,0,0,0,855249
24,10,2008,1,0,0,0,0,5,846742
30,8,2016,1,0,0,0,0,0,845012
1,10,2016,1,0,0,0,0,0,830155
24,11,2014,1,0,0,0,0,0,819478
1,9,2019,1,0,0,0,0,2,816662
5,9,2018,1,0,0,0,0,1,808330
1,1,2016,1,0,0,0,0,0,800157
1,4,2013,1,1,0,0,0,0,790724
1,1,2010,1,0,0,0,0,0,783058
9,1,2017,1,0,0,0,0,4,780073
26,1,2020,1,0,0,0,0,1,777769
7,5,2018,1,0,0,0,0,1,777649
23,6,2014,1,0,0,0,0,0,777387
1,6,2016,1,0,0,0,0,5,776648
1,11,2015,1,0,0,0,0,2,776125
23,6,2020,1,0,0,0,0,1,768890
28,4,2018,1,0,0,0,0,2,764357
7,9,2017,1,0,0,0,0,1,762874
30,1,2017,1,0,0,0,0,4,760561
8,1,2023,1,0,0,0,0,1,756737
30,12,2019,1,0,0,0,0,4,751700
21,7,2019,1,0,0,0,0,6,749161
22,11,2021,1,0,0,0,0,1,746682
30,10,2011,1,0,0,0,0,2,745355
11,7,2015,1,0,0,0,0,6,738556
27,7,2017,1,0,0,0,0,0,735405
1,7,2014,1,0,0,0,0,2,709926
1,12,2015,1,0,0,0,0,2,707432
14,5,2015,1,0,0,0,0,1,699793
8,7,2019,1,0,0,0,0,1,686899
1,7,2016,1,0,0,0,0,2,669584
1,7,2016,1,0,0,0,0,6,660305
28,7,2015,1,0,0,0,0,2,657001
7,6,2018,1,0,0,0,0,0,655161
11,9,2014,1,0,0,0,0,4,652683
13,6,2014,1,0,0,0,0,0,648231
1,1,2020,1,0,0,0,0,0,645786
16,5,2017,1,0,0,0,0,2,637340
17,12,2020,1,0,0,0,0,1,637279
18,9,2015,1,0,0,0,0,0,620677
8,11,2015,1,0,0,0,0,0,616882
11,5,2017,1,0,0,0,0,1,616146
1,1,2014,1,0,0,0,0,2,612414
19,6,2016,1,0,0,0,0,0,611070
17,6,2018,1,0,0,0,0,2,606637
22,2,2017,1,0,0,0,0,2,599802
21,2,2020,1,0,0,0,0,4,599667
6,5,2016,1,0,0,0,0,6,599080
25,10,2010,1,0,0,0,0,1,590954
1,1,2017,1,0,0,0,0,1,583503
28,10,2019,1,0,0,0,0,1,583377
22,4,2016,1,0,0,0,0,1,582578
7,12,2018,1,0,0,0,0,5,575437
1,1,2016,1,0,0,0,0,4,568827
1,10,2014,1,0,0,0,0,0,568340
1,11,2019,1,0,0,0,0,5,564962
1,7,2019,1,0,0,0,0,2,561991
24,12,2020,1,0,0,0,0,1,547422
12,2,2018,1,1,0,0,0,1,542902
8,10,2020,1,0,0,0,0,1,535240
4,7,2022,1,0,0,0,0,1,533886
26,6,2011,1,0,0,0,0,0,530270
11,8,2016,1,0,0,0,0,6,530147
3,11,2015,1,0,0,0,0,2,518966
28,11,2017,1,0,0,0,0,1,512311
26,6,2021,1,0,0,0,0,5,505466
1,5,2015,1,0,0,0,0,6,504565
1,9,2014,1,0,0,0,0,2,503501
22,5,2015,1,0,0,0,0,2,501407
7,12,2017,1,0,0,0,0,1,499836
28,1,2021,1,0,0,0,0,2,498297
28,2,2020,1,0,0,0,0,2,494945
19,8,2016,1,0,0,0,0,4,492518
1,5,2018,1,0,0,0,0,6,483015
3,8,2017,1,0,0,0,0,2,478824
23,11,2021,1,0,0,0,0,1,471376
15,7,2019,1,0,0,0,0,1,471167
8,3,2021,1,0,0,0,0,1,465141
