BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,PwnCount
16,8,2018,1,0,0,0,0,1,44109
20,5,2020,1,0,0,0,0,6,43491
7,5,2019,1,0,0,0,0,1,41960
11,2,2015,1,0,0,0,0,1,40256
4,12,2013,1,0,0,0,0,0,38108
17,2,2014,1,0,0,0,0,0,37784
2,6,2011,1,0,0,0,0,0,37103
1,1,2017,1,0,0,0,0,5,36916
3,4,2014,1,0,0,0,0,0,36789
2,5,2014,1,1,0,0,0,0,35368
12,10,2022,1,0,0,0,0,2,34478
1,1,2016,1,0,0,0,0,6,34235
6,7,2015,1,0,0,0,0,0,32310
25,6,2018,1,0,0,0,0,5,30484
31,3,2019,1,1,0,0,0,1,30433
1,7,2015,1,0,0,0,0,5,30327
21,12,2011,1,1,0,0,0,0,28641
11,3,2016,1,0,0,0,0,1,26815
25,4,2014,1,0,0,0,0,0,26596
8,8,2022,1,1,0,0,0,1,23817
30,1,2018,1,0,0,0,0,1,22477
1,2,2014,1,0,0,0,0,1,20902
6,1,2023,1,0,0,0,0,1,20032
15,8,2015,1,0,0,0,0,0,19863
9,9,2013,1,0,0,0,0,6,19210
20,12,2017,1,0,0,0,0,6,17706
10,1,2014,1,0,0,0,0,6,16919
16,12,2016,1,0,0,0,0,5,16431
24,5,2015,1,0,0,0,0,6,16034
3,11,2018,1,0,0,0,0,0,14609
16,1,2015,1,0,0,0,0,0,13451
21,5,2021,1,1,0,0,0,1,12314
8,3,2021,1,1,0,0,0,1,11788
27,9,2019,1,0,0,0,0,1,10653
12,2,2021,1,0,0,0,0,5,10585
19,12,2013,1,0,0,0,0,6,5788
10,9,2019,1,0,0,0,0,5,4606
2,12,2016,1,0,0,0,0,5,3402
19,3,2018,1,1,0,0,0,2,3204
20,2,2014,1,0,0,0,0,0,3200
12,2,2014,1,0,0,0,0,0,2239
3,2,2019,1,0,0,0,0,6,1508
4,11,2018,1,0,0,0,0,5,858
